company_id,type,rule_id,text,confidence_pct
INDIGO,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,74.78
INDIGO,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,99.0
INDIGO,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,99.0
INDIGO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,86.42
INDIGO,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,84.29
INDIGO,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,99.0
INDIGO,con,CON_FALLBACK,Financial profile contains at least one area that requires monitoring based on the available data,65.0
NESTLEIND,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,99.0
NESTLEIND,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,99.0
NESTLEIND,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,99.0
NESTLEIND,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,80.72
NESTLEIND,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,67.22
NESTLEIND,con,CON_FALLBACK,Financial profile contains at least one area that requires monitoring based on the available data,65.0
IRCTC,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,72.12
IRCTC,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,71.7
IRCTC,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,77.24
IRCTC,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,80.58
IRCTC,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,99.0
IRCTC,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,99.0
IRCTC,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,85.0
